Heelys Motion Plus Purple Black Galaxy 770851 Shoes Youth US3 ,False,,Pre-Owned,2500,0
HEELYS Propel Model 770129 Black And White Skate Roller Shoes Mens Size 9,False,,Pre-Owned,4000,0
Heelys Pro 20 Prints Black/Pink/Orange/Cyan Men Size Sz 7 Womens Size 8 **Read**,False,,Pre-Owned,3499,0
Heelys Boys Youth Black Red Lace Up Skate Shoes Size 5Y,False,,Pre-Owned,1955,0
HEELYS MEN'S PROPEL 2.0 LACE-UP SKATE SHOES,False,,Brand New,5995,0
HEELYS LAUNCH SNEAKERS MENS SIZE 11 BLACK ,False,,Pre-Owned,3500,1425
,False,,,,0
Heelys Rollershoes Sneakers Size 5 Youth Boys Gray & Black Roller Shoes,False,,Pre-Owned,2124,999
"Heelys Propel Skate Shoes Rollers 770131, Youth Size 3, Blue White",True,,Pre-Owned,3919,799
HEELYS Launch Skate Shoes 770873H Purple Youth Girls size 5 Women's size 6 NIB,False,0,Brand New,4223,0
Sz 3 Y HEELYS Propel 2.0 Black Red Camo Suede Skate Shoes - Unisex Youth *NICE*,False,,Pre-Owned,2429,1595
Heelys shoes youth size US 6 black And White,False,,Pre-Owned,1999,930
HEELYS PROPEL 2.0  Black Pink Zebra Print Skate Shoes Size 5 Youth Girls,False,,New (Other),2998,999
Heelys Motion Plus Skate Shoes White & Rainbow Glitter Sparkle Youth Size 6,False,,Pre-Owned,2388,1095
Heelys Size 1 Youth Shoes Black Skate Sk8 Heelies,False,,Pre-Owned,2599,0
Heelys Gray & Red  Boys Youth Size 3 EUC,False,,Pre-Owned,1550,875
Air Heelys Roller Shoe Pink/Black size 8,False,,Pre-Owned,1499,850
HEELYS Adult Mens Shoes Size 9 Black Roller Fats Style #7145 - one roller + key,False,,Pre-Owned,3100,1135
Youth  Size 3 Heeleys White & Black Camouflage Skate shoes,False,,Pre-Owned,2000,1595
Heelys Propel 2.0 770807 Black Red Athletic Roller Wheeled Skate Shoes Size 7,False,,Pre-Owned,3000,0
HEELYS SKATE SHOES 770992H COLOR: BLACK/ROYAL YOUTH/KIDS/BIG KIDS ROLLER SHOES,False,0,Brand New,4599,0
Heelys Style# 9101 Black Youth Size 1,False,,Pre-Owned,1999,2115
Heelys Force Kid’s Skate Shoes Boys Youth Size 2 Red Roller Sneaker W/ Removal,True,,Pre-Owned,3499,899
Heelys Propel 2.0 Skate Sneakers. Size Youth 6 Pre-owned Excellent Condition....,False,,Pre-Owned,2000,870
"Heelys Sneakers Boys, Youth Size 2, White With Black Flames",True,,Pre-Owned,2799,0
Heelys - Premium 1 Lo Skates Black Sneakers - Youth 4 - HE100262,False,,New (Other),4999,0
HEELYS Skate Shoes Black w/ Orange Trim Kids Size 2 Youth,False,,Pre-Owned,2799,899
Heelys shoes youth size US 6 black And White,False,,Pre-Owned,1800,2115
Heelys Pro 20 Grey/White/Royal Size US11 / UK10 Pre-owned,False,,Pre-Owned,4500,930
Heelys Skate Shoe Little Girl's Size 12 C Pink Roller Shoe Youth Kids,False,,Pre-Owned,2500,835
Heelys sneaker youth 5/women 6,False,,Pre-Owned,2200,2115
Heelys Red and Black Plus X2 Lighted Tennis Sneakers -Size Youth 4Y,False,,Pre-Owned,1260,1595
"Heelys Racer 20 HE100764 Casual Skate Shoes, Little Kids Size 3, Red ",False,,Pre-Owned,3147,799
Heelys Voyager Skate Shoe Girl's Size Youth 5 Grey & Pink,False,,Pre-Owned,2800,900
Heelys Sneakers SZ 8 Style #7163,False,,Pre-Owned,2575,2115
Heelys Force Black/Neon Green Camo Skate Shoes Boys Size 1 Youth HE100095 EUC,False,,Pre-Owned,2000,1270
Heelys Motion Plus Skate Shoes White & Rainbow Glitter Sparkle Youth Size 3,False,,Pre-Owned,2000,870
